objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
CHBA_OVS_011,CHBA_OVS_011.jpg,,El baúl,image/jpeg,"La fotografía muestra a Chuito el de Bayamón (Jesús Sánchez Erazo) acompañado por sus nietas, Violeta y Eneida, en una escena íntima y familiar. Él aparece sentado, sosteniendo con cercanía a las niñas. La imagen capta un momento cotidiano de la vida privada del músico. En la parte superior derecha se lee en letras negras El Baúl.; <br> 
The photograph shows Chuito el de Bayamón (Jesús Sánchez Erazo) with his granddaughters, Violeta and Eneida, in an intimate, family setting. He is seated, holding the girls close. The image captures an everyday moment from the musician’s private life. In the upper right corner, the words “El Baúl” are written in black letters",,,,,single-page; photograph,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ",,,,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",CHBA_OVS_011,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_012,CHBA_OVS_012.jpg,,Recordando el ayer,image/jpeg,"Carátula del disco Recordando el ayer, interpretado por Chuito el de Bayamón. En La carátula consiste en un retrato en primer plano de Chuito con expresión seria, vestido con abrigo y suéter cuello alto, sobre un fondo negro. En la parte superior destaca su nombre en letras grandes amarillas, y debajo, el título en tipografía cursiva. A la derecha se lee Interpreta canciones de Don Felo (Don Felipe R. Goyco). A la izquierda se lee Con el Conjunto Industrias Nativas. En la esquina superior derecha aparece el sello Hopes Records (HOPE), con la indicación “Stereo” y el número de catálogo 909. La edición corresponde a la década de 1970.; <br> 
Cover of the album Recordando el ayer, performed by Chuito el de Bayamón. The cover features a close-up portrait of Chuito with a serious expression, wearing a coat and a turtleneck sweater, against a black background. At the top, his name stands out in large yellow letters and below it, the title is written in cursive typeface. On the right, it reads: Performs songs by Don Felo (Don Felipe R. Goyco). On the left, it reads: With the Conjunto Industrias Nativas. In the upper right corner is the Hopes Records (HOPE) label, with the word “Stereo” and the catalog number 909. The album was released in the 1970s",Hope Records,,1970,yes,single-page; album cover,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ",Puerto Rico,18.220833,-66.590149000,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",CHBA_OVS_012,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_013,CHBA_OVS_013.jpg,,Fotografía de Chuito el de Bayamón,image/jpeg,"Fotografía en blanco y negro de Chuito el de Bayamón de pie en la sala de uno de sus hijos. Está vestido con traje claro, camisa blanca y corbata oscura. Apoya una mano sobre una radio antigua de madera, encima de la cual hay retratos familiares y pequeños objetos decorativos. Al fondo se ven un cuadro ovalado y cortinas estampadas.; <br> 
A black-and-white photograph of Chuito el de Bayamón standing in one of his sons’ living rooms. He is wearing a light-colored suit, a white shirt and a dark tie. He has one hand resting on an old wooden radio, atop which are family portraits and small decorative objects. In the background, there is an oval-shaped painting and patterned curtains",,,,,single-page; photograph,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ",,,,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",CHBA_OVS_013,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,,
CHBA_OVS_014,CHBA_OVS_014.jpg,,"Chuito, el decano de los cantores",image/jpeg,"Contraportada del disco Chuito, El decano de los cantores. Contiene una fotografía en blanco y negro de Chuito el de Bayamón de pie al aire libre, junto a un árbol del que cuelga un peso con frutas. Chuito lleva un sombrero de paja que dice “Bienvenidos a Bayamón” y sostiene frutas en las manos. El suelo está cubierto de piedras y vegetación. En la parte inferior seencuentra el listado de canciones en tipografía pequeña. Se lee: A. No me quieres dar mas (Sic.). Puedes irte. Se que volveras. El abandonado. Aunque me meta a prision. B. La mama y la hija. Esta navidad. Improvisando y cantando. Desde la montaña. Las penas.; <br> 
Back cover of the album Chuito, El decano de los cantores. It features a black-and-white photograph of Chuito el de Bayamón standing outdoors next to a tree from which hangs a bunch of fruit. Chuito is wearing a straw hat that reads “Welcome to Bayamón” and is holding fruit in his hands. The ground is covered with stones and vegetation. At the bottom is the list of songs in small print. It reads: A. No me quieres dar mas (Sic.). Puedes irte. Se que volveras. El abandonado. Aunque me meta a prision. B. La mama y la hija. Esta navidad. Improvisando y cantando. Desde la montaña. Las penas",Fonseca Records,,,,single-page; album cover,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 7, Folder 13",CHBA_OVS_014,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_015,CHBA_OVS_015.jpg,,Chuito. Joven le hago una advertencia...,image/jpeg,"Décimas de tono afirmativo en las que Chuito el de Bayamón (Jesús Sánchez Erazo) se presenta como cantor experimentado y figura central de la música típica. El texto enfatiza su trayectoria, su autoridad en la versificación y su permanencia en la escena, reforzando su identidad artística a través de la repetición de su nombre como cierre de cada estrofa.; <br> 
Affirmative decimas in which Chuito el de Bayamón (Jesús Sánchez Erazo) presents himself as a seasoned singer and a central figure in traditional music. The text highlights his career, his mastery of verse and his enduring presence on the scene, reinforcing his artistic identity by repeating his name at the end of each stanza",Chuito el de Bayamón [Jesús Sánchez Erazo],,,,single-page; text,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 7, Folder 23",CHBA_OVS_015,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Text,Español; Spanish,
CHBA_OVS_016,CHBA_OVS_016.jpg,,A la orillita del río...,image/jpeg,"Décimas de temática amorosa compuestas por Chuito el de Bayamón [Jesús Sánchez Erazo], donde el hablante invita a una mujer a compartir una vida en común dentro de un entorno rural. El texto recurre a imágenes del río, el bohío y la mañana para construir una escena bucólica e íntima.; <br> 
Love-themed decimas composed by Chuito el de Bayamón [Jesús Sánchez Erazo], in which the speaker invites a woman to share a life together in a rural setting. The text draws on images of the river, the hut and the morning to create a bucolic and intimate scene",Chuito el de Bayamón [Jesús Sánchez Erazo],,,,single-page; text,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 7, Folder 23",CHBA_OVS_016,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Text,Español; Spanish,
CHBA_OVS_017,CHBA_OVS_017.jpg,,Quiero olvidar,image/jpeg,"Poema de temática amorosa compuesto por Chuito el de Bayamón [Jesús Sánchez Erazo]. En el poema el yo lírico enumera recuerdos y expresa el deseo de olvidarlos. Discurre sobre el fin de la relación y la separación de la persona amada.; <br>  
A love poem written by Chuito el de Bayamón [Jesús Sánchez Erazo]. In the poem, the speaker recalls memories and expresses a desire to forget them. He reflects on the end of the relationship and the separation from his beloved",Chuito el de Bayamón [Jesús Sánchez Erazo],,,,single-page; text,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 7, Folder 23",CHBA_OVS_017,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Text,Español; Spanish,
CHBA_OVS_018,CHBA_OVS_018.jpg,,El atrecho,image/jpeg,"Décimas de temática jíbara compuestas por Chuito el de Bayamón [Jesús Sánchez Erazo]. En ellas se describe a un trabajador del campo que toma atajos para llegar más rápido a su labor, con machete y azada en mano. El texto presenta una escena cotidiana del trabajo rural y muestra cómo ese camino, abierto por el campesino, es luego utilizado por otros.<br>
Jíbara-themed decimas composed by Chuito el de Bayamón [Jesús Sánchez Erazo]. They depict a farmworker who takes shortcuts to get to his work faster, machete and hoe in hand. The text presents an everyday scene of rural labor and shows how that path, cleared by the farmer, is later used by others.",Chuito el de Bayamón [Jesús Sánchez Erazo],,,,single-page; text,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Psychiana Photographs'",CHBA_OVS_018,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Text,Español; Spanish,
CHBA_OVS_019,CHBA_OVS_019.jpg,,Cuentos del campo,image/jpeg,"Décima de tono narrativo compuesta por Chuito el de Bayamón [Jesús Sánchez Erazo]. En esta se relata un episodio protagonizado por un jíbaro que toca un guitarrón donde vive un ratón. Durante un baile, al tocar el instrumento, el animal sale de su interior y provoca la interrupción del festejo.; <br> 
A narrative décima composed by Chuito el de Bayamón [Jesús Sánchez Erazo]. It tells the story of a jíbaro who plays a guitarrón in which a mouse lives. During a dance, as he plays the instrument, the animal emerges from inside it and causes the party to come to a halt",Chuito el de Bayamón [Jesús Sánchez Erazo],,,,single-page; text,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Psychiana Photographs'",CHBA_OVS_019,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Text,Español; Spanish,
CHBA_OVS_020,CHBA_OVS_020.jpg,,Que linda es la catarata...,image/jpeg,"Décima compuesta por Chuito el de Bayamón [Jesús Sánchez Erazo] en la que se exaltan elementos del paisaje rural, como el Río de la Plata en Puerto Rico, las cataratas, el palmar, los maizales, las cafetales y las aves. También se exalta la belleza de la mujer mulata. El texto reúne imágenes naturales y cotidianas vinculadas al entorno campesino y al trabajo agrícola.; <br> 
Décima composed by Chuito el de Bayamón [Jesús Sánchez Erazo] that celebrates elements of the rural landscape, such as the Río de la Plata in Puerto Rico, waterfalls, palm groves, cornfields, coffee plantations and birds. It also praises the beauty of the mulatto woman. The text brings together natural and everyday images associated with the rural environment and agricultural work",Chuito el de Bayamón [Jesús Sánchez Erazo],,,,single-page; text,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Psychiana Photographs'",CHBA_OVS_020,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Text,Español; Spanish,
CHBA_OVS_021,CHBA_OVS_021.jpg,,Sueña el alma del poeta,image/jpeg,"Décima compuesta por Chuito el de Bayamón [Jesús Sánchez Erazo], en la que describe el acto de soñar como una experiencia común en distintos contextos. Menciona al poeta, al marino y al estudiante como ejemplos de aspiraciones personales, así como al emigrante y al afligido que sueñan en medio de dificultades. El hablante lírico también se incluye señalando que su sueño consiste en el encuentro con la persona amada.; <br> 
Décima composed by Chuito el de Bayamón [Jesús Sánchez Erazo], in which he describes the act of dreaming as a common experience in various contexts. He mentions the poet, the sailor and the student as examples of personal aspirations, as well as the emigrant and the afflicted who dream amid difficulties. The lyrical speaker also includes himself, noting that his dream consists of being with his beloved",Chuito el de Bayamón [Jesús Sánchez Erazo],,,,single-page; text,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Psychiana Photographs'",CHBA_OVS_021,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Text,Español; Spanish,
CHBA_OVS_022,CHBA_OVS_022.jpg,,Para ser hombre honorable,image/jpeg,"Décima compuesta por Chuito el de Bayamón [Jesús Sánchez Erazo] donde describe la situación del pobre en contraste con el rico, indicando que, aunque ambos tienen un mismo origen, el pobre trabaja y enfrenta dificultades sin recibir reconocimiento, mientras el rico obtiene honores y beneficios. Asimismo, menciona que el pobre carece de recursos básicos y que, en contextos como las elecciones, es tomado en cuenta principalmente para servir a intereses ajenos.; <br> 
Décima composed by chuito el de Bayamón [Jesús Sánchez Erazo] in which he describes the plight of the poor in contrast to that of the rich, noting that, although both share the same origins, the poor work and face hardships without receiving recognition, while the rich enjoy honors and benefits. He also mentions that the poor lack basic resources and that, in contexts such as elections, they are primarily taken into account to serve the interests of others",Chuito el de Bayamón [Jesús Sánchez Erazo],,,,single-page; text,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Robinson & Friends'",CHBA_OVS_022,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Text,Español; Spanish,
